Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Se censa,Agua,Ambiente
CA_20250115,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20250115,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,True,Sí,Salinas
CA_20250115,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Sí,Marisma
CA_20250115,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20250115,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Sí,Marisma
CA_20250115,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,True,Sí,Otros
CA_20250115,Parque Nacional De Doñana,El Partido,El Partido,True,Poca,Otros
CA_20250115,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,Poca,Marisma
CA_20250115,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,No,Marisma
CA_20250115,Parque Natural Norte,Hato Blanco,Hato Blanco,True,Poca,Arrozal
CA_20250115,Parque Natural Norte,Hato Blanco,Balsa Pozo de la Cierva,True,Sí,---------
CA_20250115,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Sí,Otros
CA_20250115,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,No,Marisma
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,Muy poca,Marisma
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,Muy poca,Marisma
CA_20250115,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Muy poca,Marisma
CA_20250115,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Muy poca,Arrozal
CA_20250115,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Muy poca,Otros
CA_20250115,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Poca,Otros
CA_20250115,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,Muy poca,Arrozal
CA_20250115,Parque Natural Norte,Hato Blanco,Balsas Hato Ratón Nuevo,True,Sí,---------
CA_20250115,Parque Natural Norte,Otros Cultivos,Los Madrigales,True,Poca,Arrozal
CA_20250115,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozal de Casa Neves,True,Sí,Arrozal
CA_20250115,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,True,Sí,Otros
CA_20250115,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Sí,Otros
CA_20250115,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,True,Poca,Arrozal
CA_20250115,Veta La Palma,Veta La Palma,El Italiano,True,No,Arrozal
CA_20250115,Veta La Palma,Veta La Palma,Balsa De Tarfia,True,Sí,Otros
CA_20250115,Veta La Palma,Veta La Palma,Cultivos De Tarfia,True,No,Otros
CA_20250115,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20250115,Veta La Palma,Veta La Palma,Cuquero Chico,True,Sí,Acuicultura
CA_20250115,Veta La Palma,Veta La Palma,Cuquero Grande,True,Sí,Acuicultura
CA_20250115,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,Poca,Marisma
CA_20250115,Veta La Palma,Veta La Palma,Esparragosilla,True,Sí,Acuicultura
CA_20250115,Veta La Palma,Veta La Palma,Almajar Perimetral,True,Poca,Otros
CA_20250115,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20250115,Veta La Palma,Veta La Palma,Balsas CDE,True,Sí,Acuicultura
CA_20250115,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20250115,Parque Natural Norte,Otros Cultivos,Otros Cultivos,True,No,Otros
CA_20250115,Parque Nacional De Doñana,Lagunas RBD,Laguna del Sopetón,True,Sí,---------
CA_20250225,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20250225,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,True,Sí,Salinas
CA_20250225,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,Poca,Marisma
CA_20250225,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Poca,Marisma
CA_20250225,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Poca,Marisma
CA_20250225,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Lagunas RBD,Laguna del Sopetón,True,Sí,---------
CA_20250225,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20250225,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,True,Sí,Otros
CA_20250225,Parque Nacional De Doñana,El Partido,El Partido,True,Sí,Otros
CA_20250225,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,Poca,Marisma
CA_20250225,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,Poca,Marisma
CA_20250225,Parque Natural Norte,Hato Blanco,Hato Blanco,True,No,Arrozal
CA_20250225,Parque Natural Norte,Hato Blanco,Balsa Pozo de la Cierva,True,Sí,---------
CA_20250225,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Sí,Otros
CA_20250225,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,Poca,Marisma
CA_20250225,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,Sí,Marisma
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,Sí,Marisma
CA_20250225,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Sí,Marisma
CA_20250225,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,No,Arrozal
CA_20250225,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Sí,Otros
CA_20250225,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Sí,Otros
CA_20250225,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,Muy poca,Arrozal
CA_20250225,Parque Natural Norte,Hato Blanco,Balsas Hato Ratón Nuevo,True,Sí,---------
CA_20250225,Parque Natural Norte,Otros Cultivos,Los Madrigales,True,No,Arrozal
CA_20250225,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozal de Casa Neves,True,No,Arrozal
CA_20250225,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,True,Sí,Otros
CA_20250225,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Sí,Otros
CA_20250225,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,True,Muy poca,Arrozal
CA_20250225,Veta La Palma,Veta La Palma,El Italiano,True,No,Arrozal
CA_20250225,Veta La Palma,Veta La Palma,Balsa De Tarfia,True,Sí,Otros
CA_20250225,Veta La Palma,Veta La Palma,Cultivos De Tarfia,True,No,Otros
CA_20250225,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20250225,Veta La Palma,Veta La Palma,Cuquero Chico,True,Sí,Acuicultura
CA_20250225,Veta La Palma,Veta La Palma,Cuquero Grande,True,Sí,Acuicultura
CA_20250225,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,Sí,Marisma
CA_20250225,Veta La Palma,Veta La Palma,Esparragosilla,True,Sí,Acuicultura
CA_20250225,Veta La Palma,Veta La Palma,Almajar Perimetral,True,Sí,Otros
CA_20250225,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20250225,Veta La Palma,Veta La Palma,Balsas CDE,True,Sí,Acuicultura
CA_20250225,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20250225,Parque Natural Norte,Otros Cultivos,Otros Cultivos,False,No,Otros
CA_20250327,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Mucha,Salinas
CA_20250327,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,True,Mucha,Salinas
CA_20250327,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Sí,Marisma
CA_20250327,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Lagunas RBD,Laguna del Sopetón,True,Sí,---------
CA_20250327,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20250327,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,Sí,Marisma
CA_20250327,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,True,Mucha,Otros
CA_20250327,Parque Nacional De Doñana,El Partido,El Partido,True,Sí,Otros
CA_20250327,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,Mucha,Marisma
CA_20250327,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,Mucha,Marisma
CA_20250327,Parque Natural Norte,Hato Blanco,Hato Blanco,True,No,Arrozal
CA_20250327,Parque Natural Norte,Hato Blanco,Balsa Pozo de la Cierva,True,Sí,---------
CA_20250327,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Mucha,Otros
CA_20250327,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,Mucha,Marisma
CA_20250327,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,Mucha,Marisma
